Ute	temp	1.6	2015-03-02 17:49:15
Ute oppe	temp	2.6	2015-03-02 17:50:29
Ute oppe	humidity	87	2015-03-02 17:50:29
Ute	temp	1.7	2015-03-02 17:59:39
Ute oppe	temp	2.5	2015-03-02 18:00:53
Ute oppe	humidity	88	2015-03-02 18:00:53
Ute	temp	1.6	2015-03-02 18:10:03
Ute oppe	temp	2.4	2015-03-02 18:11:17
Ute oppe	humidity	88	2015-03-02 18:11:17
Ute	temp	1.6	2015-03-02 18:20:27
Ute oppe	temp	2.4	2015-03-02 18:21:41
Ute oppe	humidity	88	2015-03-02 18:21:41
Ute	temp	1.5	2015-03-02 18:30:51
Ute oppe	temp	2.3	2015-03-02 18:32:05
Ute oppe	humidity	89	2015-03-02 18:32:05
Ute	temp	1.3	2015-03-02 18:41:15
Ute oppe	temp	2.2	2015-03-02 18:42:29
Ute oppe	humidity	89	2015-03-02 18:42:29
Ute	temp	1.3	2015-03-02 18:51:39
Ute oppe	temp	2.2	2015-03-02 18:52:53
Ute oppe	humidity	90	2015-03-02 18:52:53
Ute	temp	1.3	2015-03-02 19:02:03
Ute oppe	temp	2.1	2015-03-02 19:03:17
Ute oppe	humidity	90	2015-03-02 19:03:17
Ute	temp	1.3	2015-03-02 19:12:27
Ute oppe	temp	2.1	2015-03-02 19:03:17
Ute oppe	humidity	90	2015-03-02 19:03:17
Ute	temp	1.2	2015-03-02 19:22:51
Ute oppe	temp	2.1	2015-03-02 19:13:41
Ute oppe	humidity	91	2015-03-02 19:13:41
Ute	temp	1.2	2015-03-02 19:33:15
Ute oppe	temp	2.0	2015-03-02 19:24:05
Ute oppe	humidity	92	2015-03-02 19:24:05
Ute	temp	1.1	2015-03-02 19:43:39
Ute oppe	temp	2.0	2015-03-02 19:34:29
Ute oppe	humidity	93	2015-03-02 19:34:29
Ute	temp	1.1	2015-03-02 19:43:39
Ute oppe	temp	2.0	2015-03-02 19:44:53
Ute oppe	humidity	93	2015-03-02 19:44:53
Ute	temp	1.2	2015-03-02 19:54:03
Ute oppe	temp	2.0	2015-03-02 19:55:17
Ute oppe	humidity	94	2015-03-02 19:55:17
Ute	temp	1.1	2015-03-02 20:04:27
Ute oppe	temp	2.0	2015-03-02 20:05:41
Ute oppe	humidity	94	2015-03-02 20:05:41
Ute	temp	1.1	2015-03-02 20:14:51
Ute oppe	temp	2.0	2015-03-02 20:16:05
Ute oppe	humidity	94	2015-03-02 20:16:05
Ute	temp	1.1	2015-03-02 20:25:15
Ute oppe	temp	2.0	2015-03-02 20:26:29
Ute oppe	humidity	95	2015-03-02 20:26:29
Ute	temp	1.0	2015-03-02 20:35:39
Ute oppe	temp	2.0	2015-03-02 20:36:53
Ute oppe	humidity	95	2015-03-02 20:36:53
Ute	temp	1.1	2015-03-02 20:46:03
Ute oppe	temp	1.9	2015-03-02 20:47:18
Ute oppe	humidity	96	2015-03-02 20:47:18
Ute	temp	1.1	2015-03-02 20:56:27
Ute oppe	temp	1.9	2015-03-02 20:57:41
Ute oppe	humidity	96	2015-03-02 20:57:41
Ute	temp	0.9	2015-03-02 21:06:51
Ute oppe	temp	1.9	2015-03-02 21:08:05
Ute oppe	humidity	96	2015-03-02 21:08:05
Ute	temp	0.9	2015-03-02 21:17:15
Ute oppe	temp	1.8	2015-03-02 21:18:29
Ute oppe	humidity	96	2015-03-02 21:18:29
Ute	temp	0.8	2015-03-02 21:27:39
Ute oppe	temp	1.7	2015-03-02 21:28:53
Ute oppe	humidity	96	2015-03-02 21:28:53
Ute	temp	0.7	2015-03-02 21:38:03
Ute oppe	temp	1.7	2015-03-02 21:39:17
Ute oppe	humidity	96	2015-03-02 21:39:17
Ute	temp	0.6	2015-03-02 21:48:27
Ute oppe	temp	1.7	2015-03-02 21:49:41
Ute oppe	humidity	96	2015-03-02 21:49:41
Ute	temp	0.6	2015-03-02 21:58:51
Ute oppe	temp	1.6	2015-03-02 22:00:05
Ute oppe	humidity	96	2015-03-02 22:00:05
Ute	temp	0.6	2015-03-02 22:09:15
Ute oppe	temp	1.6	2015-03-02 22:10:29
Ute oppe	humidity	96	2015-03-02 22:10:29
Ute	temp	0.5	2015-03-02 22:19:40
Ute oppe	temp	1.6	2015-03-02 22:20:53
Ute oppe	humidity	96	2015-03-02 22:20:53
Ute	temp	0.4	2015-03-02 22:30:04
Ute oppe	temp	1.6	2015-03-02 22:31:18
Ute oppe	humidity	96	2015-03-02 22:31:18
Ute	temp	0.6	2015-03-02 22:40:27
Ute oppe	temp	1.6	2015-03-02 22:41:41
Ute oppe	humidity	96	2015-03-02 22:41:41
Ute	temp	0.5	2015-03-02 22:50:51
Ute oppe	temp	1.6	2015-03-02 22:52:05
Ute oppe	humidity	97	2015-03-02 22:52:05
Ute	temp	0.7	2015-03-02 23:01:15
Ute oppe	temp	1.6	2015-03-02 23:03:08
Ute oppe	humidity	97	2015-03-02 23:03:08
Ute	temp	0.7	2015-03-02 23:11:39
Ute oppe	temp	1.6	2015-03-02 23:13:32
Ute oppe	humidity	97	2015-03-02 23:13:32
Ute	temp	0.7	2015-03-02 23:22:03
Ute oppe	temp	1.6	2015-03-02 23:23:56
Ute oppe	humidity	97	2015-03-02 23:23:56
Ute	temp	0.6	2015-03-02 23:32:27
Ute oppe	temp	1.6	2015-03-02 23:34:20
Ute oppe	humidity	97	2015-03-02 23:34:20
Ute	temp	0.5	2015-03-02 23:42:51
Ute oppe	temp	1.6	2015-03-02 23:34:20
Ute oppe	humidity	97	2015-03-02 23:34:20
Ute	temp	0.6	2015-03-02 23:53:15
Ute oppe	temp	1.6	2015-03-02 23:44:44
Ute oppe	humidity	98	2015-03-02 23:44:44
Ute	temp	0.4	2015-03-03 00:03:39
Ute oppe	temp	1.5	2015-03-02 23:55:08
Ute oppe	humidity	98	2015-03-02 23:55:08
Ute	temp	0.3	2015-03-03 00:14:03
Ute oppe	temp	1.5	2015-03-03 00:05:32
Ute oppe	humidity	98	2015-03-03 00:05:32
Ute	temp	0.3	2015-03-03 00:24:27
Ute oppe	temp	1.4	2015-03-03 00:15:56
Ute oppe	humidity	98	2015-03-03 00:15:56
Ute	temp	0.3	2015-03-03 00:24:27
Ute oppe	temp	1.5	2015-03-03 00:26:20
Ute oppe	humidity	98	2015-03-03 00:26:20
Ute	temp	0.4	2015-03-03 00:34:51
Ute oppe	temp	1.4	2015-03-03 00:36:44
Ute oppe	humidity	98	2015-03-03 00:36:44
Ute	temp	0.3	2015-03-03 00:45:15
Ute oppe	temp	1.4	2015-03-03 00:47:08
Ute oppe	humidity	98	2015-03-03 00:47:08
Ute	temp	0.3	2015-03-03 00:55:39
Ute oppe	temp	1.4	2015-03-03 00:57:32
Ute oppe	humidity	98	2015-03-03 00:57:32
Ute	temp	0.3	2015-03-03 01:06:03
Ute oppe	temp	1.4	2015-03-03 01:07:56
Ute oppe	humidity	98	2015-03-03 01:07:56
Ute	temp	0.3	2015-03-03 01:16:27
Ute oppe	temp	1.4	2015-03-03 01:18:20
Ute oppe	humidity	98	2015-03-03 01:18:20
Ute	temp	0.3	2015-03-03 01:26:51
Ute oppe	temp	1.4	2015-03-03 01:28:44
Ute oppe	humidity	98	2015-03-03 01:28:44
Ute	temp	0.3	2015-03-03 01:37:15
Ute oppe	temp	1.4	2015-03-03 01:39:08
Ute oppe	humidity	98	2015-03-03 01:39:08
Ute	temp	0.3	2015-03-03 01:47:39
Ute oppe	temp	1.4	2015-03-03 01:49:32
Ute oppe	humidity	98	2015-03-03 01:49:32
Ute	temp	0.3	2015-03-03 01:58:03
Ute oppe	temp	1.4	2015-03-03 01:59:56
Ute oppe	humidity	98	2015-03-03 01:59:56
Ute	temp	0.3	2015-03-03 02:08:27
Ute oppe	temp	1.4	2015-03-03 02:10:20
Ute oppe	humidity	98	2015-03-03 02:10:20
Ute	temp	0.2	2015-03-03 02:18:51
Ute oppe	temp	1.4	2015-03-03 02:20:44
Ute oppe	humidity	98	2015-03-03 02:20:44
Ute	temp	0.3	2015-03-03 02:29:15
Ute oppe	temp	1.3	2015-03-03 02:31:08
Ute oppe	humidity	98	2015-03-03 02:31:08
Ute	temp	0.3	2015-03-03 02:39:39
Ute oppe	temp	1.3	2015-03-03 02:41:32
Ute oppe	humidity	98	2015-03-03 02:41:32
Ute	temp	0.3	2015-03-03 02:50:03
Ute oppe	temp	1.3	2015-03-03 02:51:56
Ute oppe	humidity	98	2015-03-03 02:51:56
Ute	temp	0.2	2015-03-03 03:00:27
Ute oppe	temp	1.3	2015-03-03 03:02:20
Ute oppe	humidity	98	2015-03-03 03:02:20
Ute	temp	0.3	2015-03-03 03:10:51
Ute oppe	temp	1.4	2015-03-03 03:12:44
Ute oppe	humidity	98	2015-03-03 03:12:44
Ute	temp	0.4	2015-03-03 03:21:15
Ute oppe	temp	1.4	2015-03-03 03:23:08
Ute oppe	humidity	98	2015-03-03 03:23:08
Ute	temp	0.4	2015-03-03 03:31:39
Ute oppe	temp	1.4	2015-03-03 03:33:32
Ute oppe	humidity	98	2015-03-03 03:33:32
Ute	temp	0.5	2015-03-03 03:42:03
Ute oppe	temp	1.4	2015-03-03 03:43:56
Ute oppe	humidity	98	2015-03-03 03:43:56
Ute	temp	0.5	2015-03-03 03:52:27
Ute oppe	temp	1.4	2015-03-03 03:54:20
Ute oppe	humidity	98	2015-03-03 03:54:20
Ute	temp	0.3	2015-03-03 04:02:51
Ute oppe	temp	1.4	2015-03-03 04:04:44
Ute oppe	humidity	98	2015-03-03 04:04:44
Ute	temp	0.4	2015-03-03 04:13:15
Ute oppe	temp	1.4	2015-03-03 04:15:08
Ute oppe	humidity	98	2015-03-03 04:15:08
Ute	temp	0.4	2015-03-03 04:23:39
Ute oppe	temp	1.4	2015-03-03 04:15:08
Ute oppe	humidity	98	2015-03-03 04:15:08
Ute	temp	0.4	2015-03-03 04:34:03
Ute oppe	temp	1.4	2015-03-03 04:25:32
Ute oppe	humidity	98	2015-03-03 04:25:32
Ute	temp	0.3	2015-03-03 04:44:27
Ute oppe	temp	1.3	2015-03-03 04:35:56
Ute oppe	humidity	98	2015-03-03 04:35:56
Ute	temp	0.4	2015-03-03 04:54:51
Ute oppe	temp	1.3	2015-03-03 04:46:20
Ute oppe	humidity	98	2015-03-03 04:46:20
Ute	temp	0.3	2015-03-03 05:05:15
Ute oppe	temp	1.3	2015-03-03 04:56:44
Ute oppe	humidity	98	2015-03-03 04:56:44
Ute	temp	0.3	2015-03-03 05:05:15
Ute oppe	temp	1.3	2015-03-03 05:07:08
Ute oppe	humidity	98	2015-03-03 05:07:08
Ute	temp	0.3	2015-03-03 05:15:39
Ute oppe	temp	1.2	2015-03-03 05:17:32
Ute oppe	humidity	98	2015-03-03 05:17:32
Ute	temp	0.3	2015-03-03 05:26:03
Ute oppe	temp	1.3	2015-03-03 05:27:56
Ute oppe	humidity	98	2015-03-03 05:27:56
Ute	temp	0.3	2015-03-03 05:36:27
